Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,Region,Product_Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD1033,2022-02-03,2022-02-04,CUST259,Vikram,Corporate,USA,Oceania,Furniture,Accessories,Ergonomic Chair,1387,6,0.15,61
ORD1034,2022-02-04,2022-02-05,CUST885,Priya,Corporate,France,Asia,Technology,Accessories,Office Desk,71,6,0.15,-76
ORD1035,2022-02-05,2022-02-06,CUST828,Anjali,Corporate,India,North America,Technology,Accessories,Ink Cartridge,302,3,0.2,44
ORD1036,2022-02-06,2022-02-07,CUST255,Ravi,Corporate,India,North America,Technology,Accessories,Desk Phone,797,2,0.04,341
ORD1037,2022-02-07,2022-02-08,CUST478,Anjali,Corporate,France,Oceania,Office Supplies,Phones,Laptop Stand,906,1,0.01,284
ORD1038,2022-02-08,2022-02-09,CUST757,Ravi,Corporate,Australia,Asia,Technology,Storage,Wireless Mouse,1634,6,0.09,-79
ORD1039,2022-02-09,2022-02-10,CUST162,Arjun,Consumer,Canada,Oceania,Furniture,Phones,Ink Cartridge,524,5,0.21,-76
ORD1040,2022-02-10,2022-02-11,CUST568,Priya,Home Office,India,Europe,Furniture,Accessories,Office Desk,1132,9,0.06,348
ORD1041,2022-02-11,2022-02-12,CUST934,Manoj,Home Office,Canada,Asia,Office Supplies,Phones,Ink Cartridge,560,1,0.2,-31
ORD1042,2022-02-12,2022-02-13,CUST852,Manoj,Home Office,Canada,Asia,Technology,Accessories,Ink Cartridge,1755,7,0.29,-77
ORD1043,2022-02-13,2022-02-14,CUST453,Vikram,Home Office,Canada,Oceania,Furniture,Storage,Ink Cartridge,1549,5,0.03,-166
ORD1044,2022-02-14,2022-02-15,CUST881,Vikram,Home Office,Germany,North America,Technology,Storage,Laptop Stand,749,5,0.2,-114
ORD1045,2022-02-15,2022-02-16,CUST607,Karan,Consumer,USA,Europe,Office Supplies,Phones,Laptop Stand,1025,2,0.13,445
ORD1046,2022-02-16,2022-02-17,CUST570,Arjun,Consumer,India,Oceania,Office Supplies,Phones,Wireless Mouse,1856,3,0.26,507
ORD1047,2022-02-17,2022-02-18,CUST558,Karan,Consumer,France,Asia,Office Supplies,Chairs,Laptop Stand,239,7,0.05,585
ORD1048,2022-02-18,2022-02-19,CUST831,Anjali,Consumer,Australia,North America,Furniture,Chairs,Laptop Stand,1007,6,0.21,0
ORD1049,2022-02-19,2022-02-20,CUST737,Karan,Consumer,USA,Asia,Furniture,Chairs,Wireless Mouse,736,2,0.25,168
ORD1050,2022-02-20,2022-02-21,CUST247,Priya,Corporate,Australia,Europe,Technology,Copiers,Desk Phone,1007,6,0.28,596
ORD1051,2022-02-21,2022-02-22,CUST604,Anjali,Corporate,France,Oceania,Technology,Phones,Desk Phone,612,2,0.2,-124
ORD1052,2022-02-22,2022-02-23,CUST427,Arjun,Consumer,Australia,Europe,Furniture,Accessories,Wireless Mouse,1949,2,0.15,-142
ORD1053,2022-02-23,2022-02-24,CUST501,Karan,Home Office,Australia,North America,Technology,Binders,Desk Phone,1640,2,0.19,230
ORD1054,2022-02-24,2022-02-25,CUST683,Karan,Home Office,France,Asia,Furniture,Storage,Desk Phone,1317,3,0.26,437
ORD1055,2022-02-25,2022-02-26,CUST747,Anjali,Corporate,Germany,Oceania,Technology,Phones,Desk Phone,881,2,0.17,299
ORD1056,2022-02-26,2022-02-27,CUST844,Neha,Consumer,India,Europe,Technology,Storage,Desk Phone,1578,4,0.01,-92
ORD1057,2022-02-27,2022-02-28,CUST852,Vikram,Home Office,Canada,North America,Technology,Binders,Desk Phone,1204,9,0.28,535
ORD1058,2022-02-28,2022-03-01,CUST266,Priya,Corporate,France,North America,Furniture,Chairs,Laptop Stand,1558,6,0.21,77
ORD1059,2022-03-01,2022-03-02,CUST699,Vikram,Consumer,USA,North America,Furniture,Copiers,Laptop Stand,1892,1,0.2,-133
ORD1060,2022-03-02,2022-03-03,CUST113,Karan,Home Office,Germany,North America,Furniture,Phones,Ink Cartridge,696,8,0.06,-132
ORD1061,2022-03-03,2022-03-04,CUST464,Vikram,Consumer,Canada,Oceania,Office Supplies,Copiers,Wireless Mouse,70,7,0.2,-36
ORD1062,2022-03-04,2022-03-05,CUST883,Priya,Home Office,Germany,Europe,Office Supplies,Accessories,Desk Phone,890,3,0.12,288
ORD1063,2022-03-05,2022-03-06,CUST840,Vikram,Consumer,Canada,Europe,Office Supplies,Copiers,Office Desk,216,1,0.2,104
ORD1064,2022-03-06,2022-03-07,CUST475,Arjun,Consumer,USA,Europe,Office Supplies,Storage,Office Desk,1347,5,0.03,473
ORD1065,2022-03-07,2022-03-08,CUST579,Neha,Home Office,Australia,North America,Technology,Copiers,Desk Phone,437,4,0.2,164
ORD1066,2022-03-08,2022-03-09,CUST579,Ravi,Home Office,France,Europe,Technology,Phones,Ink Cartridge,650,8,0.3,178
ORD1067,2022-03-09,2022-03-10,CUST652,Anjali,Corporate,Australia,Europe,Furniture,Accessories,Wireless Mouse,365,1,0.01,142
ORD1068,2022-03-10,2022-03-11,CUST877,Arjun,Corporate,Australia,Europe,Office Supplies,Phones,Office Desk,63,1,0.29,353
ORD1069,2022-03-11,2022-03-12,CUST180,Karan,Corporate,Canada,Oceania,Furniture,Storage,Office Desk,291,4,0.12,153
ORD1070,2022-03-12,2022-03-13,CUST685,Vikram,Corporate,India,Europe,Technology,Accessories,Laptop Stand,826,8,0.26,215
ORD1071,2022-03-13,2022-03-14,CUST162,Vikram,Home Office,India,Asia,Office Supplies,Copiers,Ink Cartridge,1419,5,0.23,-92
ORD1072,2022-03-14,2022-03-15,CUST211,Manoj,Consumer,France,Asia,Technology,Chairs,Laptop Stand,614,2,0.17,362
ORD1073,2022-03-15,2022-03-16,CUST371,Arjun,Home Office,India,Europe,Furniture,Storage,Office Desk,947,6,0.22,561
ORD1074,2022-03-16,2022-03-17,CUST149,Ravi,Home Office,Canada,Europe,Technology,Accessories,Office Desk,1413,5,0.26,296
ORD1075,2022-03-17,2022-03-18,CUST136,Neha,Home Office,Australia,Europe,Office Supplies,Accessories,Wireless Mouse,141,2,0.12,140
ORD1076,2022-03-18,2022-03-19,CUST667,Arjun,Corporate,France,Asia,Technology,Copiers,Ergonomic Chair,1440,3,0.1,182
ORD1077,2022-03-19,2022-03-20,CUST722,Vikram,Consumer,India,North America,Technology,Chairs,Office Desk,1005,9,0.2,332
ORD1078,2022-03-20,2022-03-21,CUST452,Vikram,Consumer,Canada,Asia,Office Supplies,Chairs,Wireless Mouse,1528,7,0.24,99
ORD1079,2022-03-21,2022-03-22,CUST844,Priya,Corporate,Canada,North America,Technology,Accessories,Laptop Stand,1501,7,0.23,-62
ORD1080,2022-03-22,2022-03-23,CUST533,Neha,Consumer,India,North America,Furniture,Binders,Desk Phone,558,6,0.24,158
ORD1081,2022-03-23,2022-03-24,CUST796,Vikram,Corporate,India,North America,Office Supplies,Binders,Office Desk,825,8,0.13,298
ORD1082,2022-03-24,2022-03-25,CUST834,Priya,Corporate,Germany,Oceania,Office Supplies,Binders,Ergonomic Chair,84,4,0.25,184
ORD1083,2022-03-25,2022-03-26,CUST224,Karan,Home Office,India,North America,Office Supplies,Chairs,Desk Phone,255,8,0.04,403
ORD1084,2022-03-26,2022-03-27,CUST977,Karan,Corporate,Australia,Europe,Technology,Chairs,Ergonomic Chair,1154,4,0.16,79
ORD1085,2022-03-27,2022-03-28,CUST970,Arjun,Consumer,USA,Oceania,Furniture,Copiers,Ink Cartridge,1635,8,0.0,436
ORD1086,2022-03-28,2022-03-29,CUST194,Priya,Corporate,Canada,North America,Furniture,Chairs,Laptop Stand,1945,9,0.1,282
ORD1087,2022-03-29,2022-03-30,CUST802,Vikram,Home Office,USA,Europe,Technology,Accessories,Office Desk,1461,3,0.11,-90
ORD1088,2022-03-30,2022-03-31,CUST145,Vikram,Corporate,USA,Europe,Office Supplies,Binders,Desk Phone,1075,3,0.12,-62
ORD1089,2022-03-31,2022-04-01,CUST193,Manoj,Home Office,France,Asia,Technology,Storage,Ergonomic Chair,1071,2,0.21,234
ORD1090,2022-04-01,2022-04-02,CUST990,Karan,Home Office,Germany,North America,Furniture,Storage,Laptop Stand,1463,3,0.12,308
ORD1091,2022-04-02,2022-04-03,CUST650,Priya,Consumer,France,North America,Technology,Chairs,Laptop Stand,615,3,0.13,72
ORD1092,2022-04-03,2022-04-04,CUST455,Neha,Corporate,India,Oceania,Office Supplies,Chairs,Laptop Stand,1179,5,0.07,-102
ORD1093,2022-04-04,2022-04-05,CUST788,Anjali,Consumer,Canada,Oceania,Technology,Phones,Ink Cartridge,1845,5,0.11,563
ORD1094,2022-04-05,2022-04-06,CUST395,Manoj,Corporate,France,Oceania,Office Supplies,Binders,Ink Cartridge,1895,2,0.07,-97
ORD1095,2022-04-06,2022-04-07,CUST964,Manoj,Corporate,Germany,North America,Furniture,Copiers,Ergonomic Chair,1550,6,0.02,13
ORD1096,2022-04-07,2022-04-08,CUST318,Arjun,Home Office,India,Europe,Technology,Phones,Ergonomic Chair,752,5,0.18,560
ORD1097,2022-04-08,2022-04-09,CUST921,Vikram,Home Office,Canada,Europe,Technology,Chairs,Office Desk,451,6,0.2,463
ORD1098,2022-04-09,2022-04-10,CUST318,Manoj,Consumer,Germany,Europe,Furniture,Binders,Wireless Mouse,779,1,0.19,561
ORD1099,2022-04-10,2022-04-11,CUST621,Neha,Home Office,USA,Oceania,Office Supplies,Phones,Laptop Stand,1629,5,0.14,586
ORD1100,2022-04-11,2022-04-12,CUST658,Ravi,Consumer,USA,Oceania,Technology,Copiers,Desk Phone,211,9,0.11,-36
ORD1101,2022-04-12,2022-04-13,CUST104,Manoj,Corporate,France,North America,Office Supplies,Phones,Laptop Stand,251,2,0.26,319
ORD1102,2022-04-13,2022-04-14,CUST105,Vikram,Corporate,Canada,Asia,Office Supplies,Phones,Wireless Mouse,1045,1,0.16,83
ORD1103,2022-04-14,2022-04-15,CUST549,Anjali,Home Office,India,Europe,Technology,Storage,Office Desk,319,9,0.14,316
ORD1104,2022-04-15,2022-04-16,CUST251,Neha,Consumer,France,Asia,Furniture,Phones,Ink Cartridge,1936,9,0.01,456
ORD1105,2022-04-16,2022-04-17,CUST244,Karan,Consumer,France,North America,Technology,Binders,Laptop Stand,865,9,0.1,412
ORD1106,2022-04-17,2022-04-18,CUST293,Arjun,Corporate,Germany,North America,Technology,Binders,Ink Cartridge,1344,6,0.11,-37
ORD1107,2022-04-18,2022-04-19,CUST419,Neha,Consumer,France,North America,Furniture,Binders,Office Desk,505,8,0.12,458
ORD1108,2022-04-19,2022-04-20,CUST918,Vikram,Corporate,India,Oceania,Technology,Binders,Wireless Mouse,1535,1,0.17,-137
ORD1109,2022-04-20,2022-04-21,CUST309,Arjun,Corporate,Canada,Asia,Office Supplies,Accessories,Wireless Mouse,1800,4,0.16,-110
ORD1110,2022-04-21,2022-04-22,CUST486,Neha,Home Office,Germany,North America,Office Supplies,Binders,Ergonomic Chair,1325,1,0.18,-84
ORD1111,2022-04-22,2022-04-23,CUST561,Arjun,Corporate,France,Oceania,Technology,Copiers,Ink Cartridge,1066,8,0.23,66
ORD1112,2022-04-23,2022-04-24,CUST359,Karan,Corporate,USA,Asia,Furniture,Chairs,Ergonomic Chair,1775,1,0.24,484
ORD1113,2022-04-24,2022-04-25,CUST151,Ravi,Home Office,India,North America,Furniture,Phones,Office Desk,345,3,0.22,358
ORD1114,2022-04-25,2022-04-26,CUST949,Vikram,Home Office,India,Oceania,Furniture,Chairs,Ergonomic Chair,1798,4,0.29,-61
ORD1115,2022-04-26,2022-04-27,CUST137,Vikram,Corporate,Germany,Oceania,Furniture,Chairs,Office Desk,769,8,0.01,45
ORD1116,2022-04-27,2022-04-28,CUST573,Karan,Consumer,India,North America,Technology,Phones,Ink Cartridge,1822,6,0.06,460
ORD1117,2022-04-28,2022-04-29,CUST347,Ravi,Corporate,Germany,Oceania,Office Supplies,Accessories,Laptop Stand,387,7,0.0,557
ORD1118,2022-04-29,2022-04-30,CUST990,Manoj,Consumer,France,Oceania,Technology,Binders,Office Desk,928,8,0.19,194
ORD1119,2022-04-30,2022-05-01,CUST223,Ravi,Home Office,Canada,Asia,Technology,Storage,Office Desk,1126,2,0.27,286
ORD1120,2022-05-01,2022-05-02,CUST572,Arjun,Consumer,India,Europe,Furniture,Accessories,Desk Phone,841,8,0.07,275
ORD1121,2022-05-02,2022-05-03,CUST674,Neha,Corporate,France,Europe,Office Supplies,Chairs,Laptop Stand,1995,3,0.28,316
ORD1122,2022-05-03,2022-05-04,CUST521,Ravi,Home Office,India,Asia,Technology,Chairs,Office Desk,266,7,0.02,-17
ORD1123,2022-05-04,2022-05-05,CUST746,Ravi,Consumer,India,Europe,Furniture,Accessories,Desk Phone,813,3,0.28,-181
ORD1124,2022-05-05,2022-05-06,CUST461,Neha,Consumer,France,Asia,Office Supplies,Storage,Ergonomic Chair,237,7,0.11,357
ORD1125,2022-05-06,2022-05-07,CUST378,Vikram,Consumer,USA,Asia,Office Supplies,Storage,Wireless Mouse,429,2,0.03,323
ORD1126,2022-05-07,2022-05-08,CUST668,Neha,Consumer,India,North America,Office Supplies,Storage,Ergonomic Chair,542,6,0.15,381
ORD1127,2022-05-08,2022-05-09,CUST467,Priya,Home Office,Germany,Asia,Furniture,Copiers,Ergonomic Chair,1114,3,0.08,328
ORD1128,2022-05-09,2022-05-10,CUST451,Vikram,Consumer,Australia,Asia,Technology,Storage,Laptop Stand,1230,3,0.09,-54
ORD1129,2022-05-10,2022-05-11,CUST337,Vikram,Home Office,Canada,North America,Furniture,Phones,Laptop Stand,64,9,0.09,465
ORD1130,2022-05-11,2022-05-12,CUST260,Karan,Corporate,Canada,North America,Office Supplies,Binders,Desk Phone,1886,7,0.24,103
ORD1131,2022-05-12,2022-05-13,CUST795,Arjun,Consumer,Germany,Oceania,Furniture,Phones,Ink Cartridge,114,5,0.16,419
ORD1132,2022-05-13,2022-05-14,CUST265,Priya,Home Office,Canada,Oceania,Office Supplies,Chairs,Wireless Mouse,1930,7,0.09,547
ORD1133,2022-05-14,2022-05-15,CUST528,Karan,Corporate,Canada,North America,Technology,Copiers,Desk Phone,1912,9,0.18,381
ORD1134,2022-05-15,2022-05-16,CUST540,Karan,Home Office,France,Oceania,Technology,Storage,Wireless Mouse,570,1,0.21,494
ORD1135,2022-05-16,2022-05-17,CUST296,Karan,Corporate,Canada,Europe,Office Supplies,Chairs,Desk Phone,1417,7,0.08,561
ORD1136,2022-05-17,2022-05-18,CUST364,Vikram,Consumer,Australia,Asia,Technology,Accessories,Desk Phone,1202,6,0.12,27
ORD1137,2022-05-18,2022-05-19,CUST685,Vikram,Consumer,USA,Europe,Furniture,Phones,Desk Phone,697,9,0.04,-99
ORD1138,2022-05-19,2022-05-20,CUST229,Arjun,Consumer,Canada,Europe,Furniture,Storage,Office Desk,1545,1,0.05,386
ORD1139,2022-05-20,2022-05-21,CUST628,Manoj,Consumer,Australia,North America,Furniture,Chairs,Office Desk,1136,4,0.2,216
ORD1140,2022-05-21,2022-05-22,CUST331,Ravi,Consumer,France,North America,Furniture,Binders,Wireless Mouse,1212,9,0.05,15
ORD1141,2022-05-22,2022-05-23,CUST253,Priya,Consumer,USA,North America,Technology,Phones,Desk Phone,1572,4,0.16,206
ORD1142,2022-05-23,2022-05-24,CUST494,Manoj,Consumer,India,Oceania,Office Supplies,Binders,Ink Cartridge,642,3,0.21,198
ORD1143,2022-05-24,2022-05-25,CUST499,Anjali,Corporate,India,Europe,Office Supplies,Phones,Ergonomic Chair,441,9,0.03,514
ORD1144,2022-05-25,2022-05-26,CUST795,Ravi,Corporate,USA,Europe,Technology,Storage,Office Desk,1748,2,0.17,503
ORD1145,2022-05-26,2022-05-27,CUST267,Anjali,Corporate,Canada,North America,Furniture,Binders,Ergonomic Chair,468,4,0.08,560
ORD1146,2022-05-27,2022-05-28,CUST925,Arjun,Home Office,Australia,Oceania,Technology,Chairs,Ink Cartridge,338,6,0.29,298
ORD1147,2022-05-28,2022-05-29,CUST187,Ravi,Corporate,Australia,Asia,Office Supplies,Binders,Laptop Stand,428,2,0.15,553
ORD1148,2022-05-29,2022-05-30,CUST190,Neha,Consumer,USA,North America,Furniture,Phones,Office Desk,1846,8,0.24,264
ORD1149,2022-05-30,2022-05-31,CUST533,Priya,Consumer,India,Europe,Office Supplies,Storage,Ergonomic Chair,1563,8,0.17,490
ORD1150,2022-05-31,2022-06-01,CUST318,Anjali,Consumer,USA,Europe,Office Supplies,Phones,Ergonomic Chair,280,1,0.01,530
ORD1151,2022-06-01,2022-06-02,CUST280,Arjun,Consumer,Australia,Europe,Technology,Binders,Wireless Mouse,1067,3,0.19,-119
ORD1152,2022-06-02,2022-06-03,CUST736,Anjali,Home Office,USA,Asia,Office Supplies,Binders,Wireless Mouse,90,9,0.29,403
ORD1153,2022-06-03,2022-06-04,CUST719,Karan,Home Office,France,Asia,Office Supplies,Chairs,Office Desk,1101,5,0.18,486
ORD1154,2022-06-04,2022-06-05,CUST260,Ravi,Home Office,USA,Oceania,Technology,Storage,Desk Phone,184,6,0.25,550
ORD1155,2022-06-05,2022-06-06,CUST139,Manoj,Consumer,France,Oceania,Furniture,Phones,Desk Phone,250,4,0.27,571
ORD1156,2022-06-06,2022-06-07,CUST761,Priya,Consumer,India,North America,Technology,Accessories,Ergonomic Chair,1913,2,0.07,164
ORD1157,2022-06-07,2022-06-08,CUST219,Priya,Corporate,Germany,Europe,Technology,Accessories,Laptop Stand,829,8,0.06,-38
ORD1158,2022-06-08,2022-06-09,CUST757,Priya,Corporate,France,North America,Technology,Phones,Desk Phone,979,6,0.18,-153
ORD1159,2022-06-09,2022-06-10,CUST684,Manoj,Consumer,Germany,Asia,Furniture,Chairs,Laptop Stand,1106,5,0.12,310
ORD1160,2022-06-10,2022-06-11,CUST500,Karan,Home Office,Canada,Europe,Technology,Storage,Desk Phone,1121,9,0.25,128
ORD1161,2022-06-11,2022-06-12,CUST153,Manoj,Home Office,India,Asia,Furniture,Binders,Laptop Stand,552,1,0.27,-85
ORD1162,2022-06-12,2022-06-13,CUST354,Karan,Consumer,India,Europe,Furniture,Binders,Desk Phone,456,5,0.11,136
ORD1163,2022-06-13,2022-06-14,CUST216,Karan,Home Office,USA,North America,Furniture,Copiers,Ink Cartridge,1647,6,0.07,536
ORD1164,2022-06-14,2022-06-15,CUST614,Priya,Consumer,Canada,Asia,Office Supplies,Chairs,Office Desk,1801,5,0.23,-54
ORD1165,2022-06-15,2022-06-16,CUST402,Ravi,Corporate,USA,Asia,Furniture,Accessories,Wireless Mouse,854,6,0.08,374
ORD1166,2022-06-16,2022-06-17,CUST792,Manoj,Corporate,USA,North America,Office Supplies,Chairs,Ink Cartridge,148,6,0.25,122
ORD1167,2022-06-17,2022-06-18,CUST710,Karan,Corporate,USA,North America,Office Supplies,Accessories,Wireless Mouse,733,7,0.13,242
ORD1168,2022-06-18,2022-06-19,CUST492,Vikram,Consumer,Germany,Europe,Furniture,Chairs,Laptop Stand,1945,4,0.2,-188
ORD1169,2022-06-19,2022-06-20,CUST975,Manoj,Consumer,India,Asia,Furniture,Accessories,Laptop Stand,775,8,0.03,293
ORD1170,2022-06-20,2022-06-21,CUST582,Priya,Consumer,USA,Asia,Technology,Accessories,Ergonomic Chair,1620,7,0.19,500
ORD1171,2022-06-21,2022-06-22,CUST586,Arjun,Home Office,France,Europe,Furniture,Storage,Wireless Mouse,1010,9,0.14,86
ORD1172,2022-06-22,2022-06-23,CUST286,Vikram,Consumer,Canada,Europe,Furniture,Phones,Office Desk,1812,7,0.18,519
ORD1173,2022-06-23,2022-06-24,CUST132,Neha,Home Office,Canada,Oceania,Furniture,Phones,Ergonomic Chair,662,3,0.05,-87
ORD1174,2022-06-24,2022-06-25,CUST754,Neha,Consumer,Australia,North America,Office Supplies,Storage,Wireless Mouse,1535,3,0.22,279
ORD1175,2022-06-25,2022-06-26,CUST347,Manoj,Consumer,Canada,North America,Technology,Chairs,Laptop Stand,692,8,0.26,-179
ORD1176,2022-06-26,2022-06-27,CUST668,Ravi,Home Office,Canada,North America,Office Supplies,Phones,Laptop Stand,1842,5,0.07,148
ORD1177,2022-06-27,2022-06-28,CUST185,Ravi,Corporate,India,Asia,Technology,Copiers,Laptop Stand,1078,4,0.03,525
ORD1178,2022-06-28,2022-06-29,CUST691,Neha,Consumer,France,North America,Office Supplies,Chairs,Ergonomic Chair,1291,8,0.01,482
ORD1179,2022-06-29,2022-06-30,CUST507,Karan,Consumer,France,Asia,Office Supplies,Phones,Wireless Mouse,552,6,0.19,365
ORD1180,2022-06-30,2022-07-01,CUST912,Priya,Corporate,India,Europe,Technology,Phones,Office Desk,816,2,0.18,119
ORD1181,2022-07-01,2022-07-02,CUST225,Karan,Consumer,Germany,Oceania,Technology,Chairs,Desk Phone,447,4,0.16,-75
ORD1182,2022-07-02,2022-07-03,CUST921,Priya,Corporate,Australia,Europe,Office Supplies,Storage,Ink Cartridge,920,4,0.07,76
ORD1183,2022-07-03,2022-07-04,CUST301,Neha,Home Office,Germany,Asia,Technology,Storage,Laptop Stand,844,6,0.12,3
ORD1184,2022-07-04,2022-07-05,CUST572,Manoj,Corporate,USA,Asia,Technology,Binders,Laptop Stand,442,6,0.18,-7
ORD1185,2022-07-05,2022-07-06,CUST559,Ravi,Consumer,Canada,Europe,Technology,Chairs,Ink Cartridge,256,1,0.15,480
ORD1186,2022-07-06,2022-07-07,CUST379,Karan,Corporate,USA,Asia,Office Supplies,Copiers,Laptop Stand,1088,8,0.3,463
ORD1187,2022-07-07,2022-07-08,CUST836,Ravi,Consumer,Australia,Europe,Furniture,Accessories,Wireless Mouse,1931,6,0.04,346
ORD1188,2022-07-08,2022-07-09,CUST848,Karan,Consumer,India,Asia,Furniture,Copiers,Ergonomic Chair,1627,3,0.21,495
ORD1189,2022-07-09,2022-07-10,CUST730,Arjun,Home Office,USA,North America,Technology,Accessories,Ergonomic Chair,941,9,0.12,85
ORD1190,2022-07-10,2022-07-11,CUST598,Karan,Corporate,Germany,Oceania,Office Supplies,Chairs,Wireless Mouse,1534,2,0.13,-144
ORD1191,2022-07-11,2022-07-12,CUST964,Priya,Consumer,India,North America,Office Supplies,Accessories,Laptop Stand,1764,8,0.22,533
ORD1192,2022-07-12,2022-07-13,CUST915,Priya,Consumer,USA,Oceania,Furniture,Copiers,Laptop Stand,1648,3,0.21,102
ORD1193,2022-07-13,2022-07-14,CUST266,Vikram,Corporate,Australia,North America,Furniture,Accessories,Ergonomic Chair,913,5,0.3,-38
ORD1194,2022-07-14,2022-07-15,CUST379,Neha,Consumer,Australia,Europe,Furniture,Chairs,Ink Cartridge,792,6,0.04,-182
ORD1195,2022-07-15,2022-07-16,CUST214,Priya,Home Office,France,Oceania,Furniture,Storage,Laptop Stand,1314,6,0.03,169
ORD1196,2022-07-16,2022-07-17,CUST565,Vikram,Corporate,France,Asia,Technology,Accessories,Laptop Stand,613,4,0.22,63
